Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell
ENSMUSG00000003380.11	31	33	23	5	16	48	21	16
ENSMUSG00000003382.18	662	651	391	803	470	275	392	329
ENSMUSG00000003402.14	243	238	190	169	168	182	209	116
ENSMUSG00000003411.10	0	2	0	0	0	1	0	0
ENSMUSG00000003418.11	1	0	0	1	1	0	0	0
ENSMUSG00000003420.8	176	263	136	215	220	190	208	49
ENSMUSG00000003421.13	127	150	108	77	101	98	131	49
ENSMUSG00000003423.15	16	34	12	6	18	31	27	14
ENSMUSG00000003429.11	24	16	22	10	14	21	19	21
ENSMUSG00000003435.9	893	556	478	979	772	468	495	388
ENSMUSG00000003437.14	285	332	194	145	164	171	251	94
ENSMUSG00000003437.14_ENSMUSG00000109455.1	44	28	24	61	38	19	13	12
ENSMUSG00000003438.17	66	126	68	33	47	107	108	39
ENSMUSG00000003444.8	57	45	44	18	17	12	15	9
ENSMUSG00000003452.15	3	3	18	12	2	8	6	3
ENSMUSG00000003458.12	1708	1191	840	1372	1260	815	820	634
ENSMUSG00000003464.13	310	285	270	224	230	174	174	103
ENSMUSG00000003484.4	8	13	9	21	24	21	17	13
ENSMUSG00000003500.13	390	327	173	174	211	104	97	109
ENSMUSG00000003518.13	237	280	192	198	183	162	201	107
ENSMUSG00000003526.12	11	5	5	3	6	7	5	4
ENSMUSG00000003527.9	105	111	97	96	92	104	87	38
ENSMUSG00000003527.9_ENSMUSG00000003166.20	1	0	0	0	1	0	0	0
ENSMUSG00000003528.15	221	293	135	86	93	125	134	70
ENSMUSG00000003531.15	1	0	2	0	0	3	3	0
ENSMUSG00000003541.6	49	96	98	23	30	144	130	33
ENSMUSG00000003545.3	289	262	61	322	322	20	76	699
ENSMUSG00000003546.10	279	310	146	173	181	116	139	83
ENSMUSG00000003549.9	11	13	16	6	7	21	11	4
ENSMUSG00000003559.8	13	27	14	9	7	8	15	3
ENSMUSG00000003573.15	217	217	181	139	145	97	72	54
ENSMUSG00000003575.13	31	28	11	63	45	17	17	20
ENSMUSG00000003581.14	13	37	40	23	11	31	10	6
ENSMUSG00000003585.13	1	1	0	0	0	0	0	0
ENSMUSG00000003604.14	1	0	2	1	1	4	7	3
ENSMUSG00000003617.16	6	0	4	25	28	5	1	1
ENSMUSG00000003623.4	380	267	262	179	208	108	89	80
ENSMUSG00000003644.17	577	401	286	616	499	266	270	269
ENSMUSG00000003660.10	391	329	209	756	429	280	267	268
ENSMUSG00000003662.10	106	133	96	70	72	84	94	44
ENSMUSG00000003680.16	87	103	52	75	61	67	51	26
ENSMUSG00000003680.16_ENSMUSG00000118346.1	1	2	4	2	0	0	0	2
ENSMUSG00000003721.14	264	206	215	120	147	146	127	64
ENSMUSG00000003731.13	240	221	142	445	194	135	108	146
ENSMUSG00000003746.16	881	932	790	1791	915	821	537	342
ENSMUSG00000003752.9	8	6	10	9	6	23	14	10
ENSMUSG00000003762.13	72	65	45	61	46	37	35	27
ENSMUSG00000003778.14	265	231	270	224	202	134	169	116
ENSMUSG00000003778.14_ENSMUSG00000049357.11	0	0	0	0	1	0	1	0
ENSMUSG00000003779.16	561	366	366	303	275	153	144	196
ENSMUSG00000003808.18	149	187	140	94	103	108	134	68
ENSMUSG00000003809.14	51	52	34	29	31	24	27	21
ENSMUSG00000003810.12	19	22	37	28	15	24	18	19
ENSMUSG00000003812.13	139	237	152	94	111	205	211	61
ENSMUSG00000003813.15	51	140	17	45	89	62	145	63
ENSMUSG00000003814.8	2154	2119	1255	1140	1135	806	1055	738
ENSMUSG00000003824.12	9	9	8	5	4	7	3	2
ENSMUSG00000003847.16	25	23	44	48	27	7	7	7
ENSMUSG00000003848.14	34	58	53	21	28	31	51	19
ENSMUSG00000003849.8	22	33	19	8	3	8	8	5
ENSMUSG00000003863.18	0	1	3	0	0	17	15	0
ENSMUSG00000003865.16	121	81	65	87	87	54	59	60
ENSMUSG00000003868.14	92	167	129	40	55	112	101	49
ENSMUSG00000003872.9	2	0	1	0	0	0	0	0
ENSMUSG00000003873.11	90	158	105	45	75	190	127	94
ENSMUSG00000003882.5	232	164	201	252	259	174	155	75
ENSMUSG00000003923.14	46	56	72	62	46	29	31	24
ENSMUSG00000003929.11	22	9	25	27	33	12	8	7
ENSMUSG00000003948.17	654	515	390	323	327	188	258	217
ENSMUSG00000003955.8	9	8	13	4	6	6	11	3
ENSMUSG00000003970.9	15	15	21	10	4	38	20	11
ENSMUSG00000003992.15	1	1	1	2	0	0	6	0
ENSMUSG00000004018.9	18	32	19	10	15	11	17	4
ENSMUSG00000004032.10	0	3	6	0	0	2	5	4
ENSMUSG00000004040.16	1234	996	1065	1277	891	880	766	543
ENSMUSG00000004043.14	190	102	82	197	128	116	114	60
ENSMUSG00000004044.9	30	33	23	14	9	12	3	11
ENSMUSG00000004054.9	260	143	108	439	261	127	105	128
ENSMUSG00000004056.15	562	384	291	526	414	238	204	180
ENSMUSG00000004056.15_ENSMUSG00000049643.15	4	1	2	2	0	0	2	0
ENSMUSG00000004069.17	344	285	222	215	261	167	152	106
ENSMUSG00000004070.15	256	450	288	99	152	253	212	100
ENSMUSG00000004071.13	188	132	110	212	184	88	81	57
ENSMUSG00000004085.14	398	335	285	407	287	160	139	176
ENSMUSG00000004096.9	68	106	113	29	44	42	53	36
ENSMUSG00000004099.16	786	594	536	1301	851	521	462	600
ENSMUSG00000004100.12	40	78	64	31	40	36	37	16
ENSMUSG00000004105.8	967	669	546	903	740	324	348	380
ENSMUSG00000004113.18	0	0	2	0	0	0	2	0
ENSMUSG00000004127.12	24	23	28	21	13	12	9	4
ENSMUSG00000004151.17	97	76	58	56	70	24	32	18
ENSMUSG00000004187.11	11	6	7	11	3	3	0	5
ENSMUSG00000004207.14	43862	33759	24882	46120	43885	23927	24174	13923
ENSMUSG00000004221.16	224	182	163	378	278	123	122	89
ENSMUSG00000004233.14	34	28	10	23	27	10	16	7
ENSMUSG00000004263.15	14	11	8	36	30	8	16	13
ENSMUSG00000004264.17	156	242	145	73	91	175	160	58
ENSMUSG00000004266.15	2318	2095	1916	1411	1300	1136	1289	894
ENSMUSG00000004267.16	4	11	1	15	29	2	29	11
ENSMUSG00000004268.11	16	30	38	11	9	35	19	7
ENSMUSG00000004270.13	297	280	94	112	153	83	99	39
ENSMUSG00000004285.12	59	47	79	18	25	43	33	27
ENSMUSG00000004296.14	0	1	1	0	1	21	16	0
ENSMUSG00000004317.14	39	33	27	110	49	35	38	17
ENSMUSG00000004319.15	142	106	131	180	137	75	73	38
ENSMUSG00000004347.17	7	7	3	42	18	12	11	0
ENSMUSG00000004356.8	27	32	28	86	33	21	27	26
ENSMUSG00000004359.16	1	3	17	5	4	30	30	1
ENSMUSG00000004364.14	47	34	50	34	32	21	13	11
ENSMUSG00000004371.15	0	0	0	5	0	0	0	0
ENSMUSG00000004371.15_ENSMUSG00000030431.8	1	0	0	0	0	0	0	2
ENSMUSG00000004383.18	28	23	12	35	28	14	5	11
ENSMUSG00000004393.10	158	162	149	90	131	142	131	66
ENSMUSG00000004394.12	309	349	218	142	181	191	247	79
ENSMUSG00000004446.12	616	633	596	247	263	335	393	161
ENSMUSG00000004451.14	1581	1179	872	828	857	524	538	378
ENSMUSG00000004455.16	81	298	626	137	60	349	134	44
ENSMUSG00000004460.17	917	873	699	266	347	315	337	201
ENSMUSG00000004462.7	154	144	90	105	90	35	47	37
ENSMUSG00000004500.9	26	17	4	22	15	8	13	7
ENSMUSG00000004508.6	294	194	161	552	350	232	224	164
ENSMUSG00000004530.12	3925	2384	1916	3629	2976	1405	1285	1385
ENSMUSG00000004535.12	1141	775	1116	869	731	510	477	321
ENSMUSG00000004552.16	40	18	10	35	29	10	17	7
ENSMUSG00000004558.15	29	21	21	7	3	8	13	10
ENSMUSG00000004561.14	28	29	30	21	22	15	16	3
ENSMUSG00000004562.16	2	1	8	16	4	3	3	7
ENSMUSG00000004565.15	70	43	28	106	67	34	28	41
ENSMUSG00000004567.16	507	418	337	343	371	237	273	141
ENSMUSG00000004568.13	1	0	0	6	5	0	2	2
ENSMUSG00000004591.16	24	44	74	56	23	58	25	22
ENSMUSG00000004609.11	107	144	81	82	78	24	42	72
ENSMUSG00000004610.4	17	14	18	6	13	19	13	9
ENSMUSG00000004626.14	977	947	873	665	587	593	566	356
ENSMUSG00000004631.15	0	1	1	0	1	2	0	0
ENSMUSG00000004633.17	128	94	104	77	101	50	53	43
ENSMUSG00000004637.15	9	11	4	8	6	7	5	4
ENSMUSG00000004642.13	221	206	193	94	108	109	90	38
ENSMUSG00000004655.5	0	1	1	0	0	0	1	0
ENSMUSG00000004661.15	41	28	26	37	42	12	14	13
ENSMUSG00000004665.10	310	392	257	120	137	126	137	78
ENSMUSG00000004667.18	49	77	78	23	31	122	71	33
ENSMUSG00000004668.14	0	0	0	1	1	0	0	0
ENSMUSG00000004677.17	250	303	246	808	423	345	230	184
ENSMUSG00000004698.10	238	192	149	329	167	69	74	77
ENSMUSG00000004707.14	1464	1269	802	1380	1501	618	752	391
ENSMUSG00000004709.14	15	19	25	16	12	9	16	16
ENSMUSG00000004730.15	19545	12583	10958	16183	14986	9276	8809	6237
ENSMUSG00000004748.5	0	4	1	0	2	2	0	0
ENSMUSG00000004768.14	33	28	21	58	35	18	18	9
ENSMUSG00000004771.12	438	482	300	310	354	191	199	97
ENSMUSG00000004788.11	71	100	54	28	41	90	87	24
ENSMUSG00000004789.10	268	215	181	208	193	127	154	117
ENSMUSG00000004791.7	15	14	10	1	0	134	158	4
ENSMUSG00000004798.14	64	139	122	265	81	106	56	56
ENSMUSG00000004814.10	0	0	0	0	0	1	0	1
ENSMUSG00000004815.12	107	60	60	146	80	49	58	65
ENSMUSG00000004837.2	54	71	48	25	36	93	96	18
ENSMUSG00000004842.18	0	0	0	1	0	1	0	0
ENSMUSG00000004843.7	382	384	246	199	196	119	178	76
ENSMUSG00000004846.10	608	391	391	351	310	215	277	238
ENSMUSG00000004849.14	267	323	251	112	156	252	241	115
ENSMUSG00000004864.13	0	0	0	0	0	1	0	1
ENSMUSG00000004865.16	68	55	72	57	58	45	41	33
ENSMUSG00000004880.11	1300	992	780	1145	942	414	346	427
ENSMUSG00000004891.16	54	66	38	357	245	158	158	29
ENSMUSG00000004895.9	130	84	56	81	91	34	52	25
ENSMUSG00000004896.16	36	41	29	24	31	29	21	6
ENSMUSG00000004897.16	237	400	493	128	126	438	207	78
ENSMUSG00000004902.7	0	0	1	1	1	2	1	0
ENSMUSG00000004929.12	105	85	65	67	75	50	62	68
ENSMUSG00000004931.11	71	62	48	54	53	48	57	29
ENSMUSG00000004933.17	28	34	21	45	39	22	20	9
ENSMUSG00000004934.14	115	163	127	45	52	123	130	52
ENSMUSG00000004936.8	1631	1168	931	941	983	523	677	394
ENSMUSG00000004937.6	535	582	437	332	372	342	334	173
ENSMUSG00000004945.15	14	41	27	7	6	42	16	18
ENSMUSG00000004947.15	116	88	60	79	62	54	55	50
ENSMUSG00000004951.10	0	0	0	0	0	8	5	0
ENSMUSG00000004952.13	478	322	198	369	368	167	152	161
ENSMUSG00000004980.16	2481	3059	2806	1536	1548	1092	1424	690
ENSMUSG00000004994.12	30	26	15	22	15	26	18	13
ENSMUSG00000004996.9	17	27	21	18	11	34	20	11
ENSMUSG00000005034.15	1735	1390	1106	2087	1399	672	679	628
ENSMUSG00000005043.13	249	143	103	478	322	126	111	145
ENSMUSG00000005045.16	0	0	0	1	0	0	2	1
ENSMUSG00000005054.7	79	87	111	14	33	87	62	60
ENSMUSG00000005054.7_ENSMUSG00000112652.1	8	8	8	1	6	0	0	2
ENSMUSG00000005057.13	17	29	27	14	16	51	28	10
ENSMUSG00000005069.12	304	166	98	262	248	98	100	85
ENSMUSG00000005078.16	58	91	70	21	25	40	30	13
ENSMUSG00000005087.17	1850	1508	1447	1752	1523	1488	1404	627
ENSMUSG00000005102.13	68	43	43	100	54	25	21	34
ENSMUSG00000005103.12	6197	4169	3122	4368	4035	1974	2139	1972
ENSMUSG00000005107.13	62	36	30	70	61	36	37	31
ENSMUSG00000005125.13	913	688	544	475	403	406	461	347
ENSMUSG00000005131.4	0	1	0	0	0	0	0	1
ENSMUSG00000005131.4_ENSMUSG00000034487.4	0	0	2	1	0	1	0	0
ENSMUSG00000005142.10	5241	3512	3169	6983	5164	2888	3044	2811
ENSMUSG00000005148.8	0	0	1	1	0	1	0	0
ENSMUSG00000005150.16	20	25	18	11	15	16	18	4
ENSMUSG00000005161.15	100	166	88	30	39	127	86	21
ENSMUSG00000005198.15	623	502	296	1473	700	433	411	429
ENSMUSG00000005204.12	344	286	242	212	224	157	138	106
ENSMUSG00000005204.12_ENSMUSG00000018752.19	10	13	14	13	9	5	6	1
ENSMUSG00000005204.12_ENSMUSG00000097328.7	3	1	0	3	1	1	0	2
ENSMUSG00000005225.15	3	1	11	3	2	10	5	4
ENSMUSG00000005233.16	114	161	142	45	60	46	66	37
ENSMUSG00000005237.14	1	0	0	0	0	0	1	0
ENSMUSG00000005262.13	265	252	218	124	165	111	83	47
ENSMUSG00000005267.13	35	23	23	57	42	11	11	10
ENSMUSG00000005299.6	783	716	695	521	468	538	488	300
ENSMUSG00000005312.15	1213	917	714	1210	914	654	618	315
ENSMUSG00000005354.16	73	141	78	47	53	125	84	32
ENSMUSG00000005362.14	276	205	273	225	206	130	149	64
ENSMUSG00000005370.4	233	171	840	298	241	332	306	852
ENSMUSG00000005371.15	62	61	91	113	52	66	19	12
ENSMUSG00000005373.13	3	0	0	1	0	0	0	0
ENSMUSG00000005374.13	108	55	62	111	84	52	53	75
ENSMUSG00000005378.17	46	104	74	31	36	65	52	21
ENSMUSG00000005410.6	700	519	608	513	484	431	424	370
ENSMUSG00000005413.8	689	984	619	550	617	649	830	264
ENSMUSG00000005417.17	88	75	63	128	93	38	55	47
ENSMUSG00000005442.13	127	97	29	236	162	39	24	46
ENSMUSG00000005447.12	6	4	7	6	3	9	9	2
ENSMUSG00000005465.9	10	7	5	37	20	10	7	4
ENSMUSG00000005469.10	15	67	80	35	19	109	19	10
ENSMUSG00000005469.10_ENSMUSG00000005470.8	0	1	0	0	1	0	0	0
ENSMUSG00000005470.8	174	206	184	58	85	125	152	36
ENSMUSG00000005481.18	211	337	277	147	170	257	225	73
ENSMUSG00000005483.10	211	194	172	115	117	208	212	55
ENSMUSG00000005501.14	32	35	29	55	35	19	25	15
ENSMUSG00000005505.12	121	102	71	82	105	57	77	19
ENSMUSG00000005506.16	97	79	77	115	87	64	83	46
ENSMUSG00000005510.9	18	31	24	11	16	37	24	11
ENSMUSG00000005514.14	1586	1185	858	1602	1525	1260	1251	537
ENSMUSG00000005533.10	0	0	0	1	0	1	0	0
ENSMUSG00000005534.10	5	12	10	33	17	11	13	9
ENSMUSG00000005566.14	158	252	379	351	172	314	196	118
ENSMUSG00000005575.16	9	6	7	2	3	7	12	6
ENSMUSG00000005575.16_ENSMUSG00000033916.5	1	1	0	0	0	0	0	0
ENSMUSG00000005580.11	53	80	105	129	74	76	39	47
ENSMUSG00000005583.16	345	325	280	345	361	113	134	73
ENSMUSG00000005609.16	304	225	216	362	263	195	148	119
ENSMUSG00000005610.17	6417	4675	3807	6159	4712	2242	2204	2288
ENSMUSG00000005610.17_ENSMUSG00000110424.1	1	1	0	0	1	0	0	0
ENSMUSG00000005611.15	15	9	9	14	6	4	2	6
ENSMUSG00000005615.15	978	779	411	1238	856	338	305	349
ENSMUSG00000005621.11	102	75	62	228	132	66	74	82
ENSMUSG00000005625.15	109	183	147	55	71	191	167	49
ENSMUSG00000005656.9	639	471	390	250	268	201	204	112
ENSMUSG00000005667.8	411	350	211	158	227	178	161	76
ENSMUSG00000005672.12	5	8	2	12	14	5	5	6
ENSMUSG00000005674.9	101	114	100	80	78	58	54	41
ENSMUSG00000005681.12	2	0	0	0	0	0	0	0
ENSMUSG00000005682.9	40	28	39	97	50	13	16	13
ENSMUSG00000005683.8	1139	764	510	748	753	379	396	323
ENSMUSG00000005686.17	419	234	215	621	496	365	340	195
ENSMUSG00000005687.14	103	139	108	56	68	70	66	30
ENSMUSG00000005698.15	10	18	27	25	25	10	9	10
ENSMUSG00000005699.16	6	14	4	3	3	13	12	5
ENSMUSG00000005718.8	22	13	9	35	36	10	3	8
ENSMUSG00000005732.14	143	285	237	56	68	181	162	77
ENSMUSG00000005763.15	0	0	0	0	0	5	3	0
ENSMUSG00000005774.12	80	47	44	85	60	33	39	30
ENSMUSG00000005779.12	42	68	73	16	20	87	43	40
ENSMUSG00000005800.3	6	5	16	2	5	12	10	2
ENSMUSG00000005802.12	35	47	89	76	18	61	31	33
ENSMUSG00000005803.14	137	154	103	59	82	83	101	42
ENSMUSG00000005804.14	672	562	481	370	384	243	263	178
ENSMUSG00000005813.12	260	257	240	181	146	117	165	100
ENSMUSG00000005823.9	357	301	191	225	252	176	173	87
ENSMUSG00000005824.7	75	84	103	11	15	98	117	30
ENSMUSG00000005846.12	510	426	423	193	222	162	202	71
ENSMUSG00000005871.15	8	6	13	33	13	5	1	4
ENSMUSG00000005873.6	1398	977	711	887	921	434	429	361
ENSMUSG00000005881.13	169	303	191	115	120	238	287	100
ENSMUSG00000005882.18	142	151	104	91	107	102	90	45
ENSMUSG00000005886.14	87	70	55	178	105	75	60	50
ENSMUSG00000005893.14	15	11	4	28	18	4	3	3
ENSMUSG00000005897.14	33	30	15	17	34	7	24	13
ENSMUSG00000005899.14	129	97	69	115	106	57	67	58
ENSMUSG00000005907.14	56	53	31	65	58	29	24	22
ENSMUSG00000005936.19	604	444	314	641	517	277	281	218
ENSMUSG00000005949.9	224	157	74	182	216	100	105	52
ENSMUSG00000005950.14	2	1	3	0	0	2	0	0
ENSMUSG00000005951.13	21	8	13	10	8	11	11	7
ENSMUSG00000005958.15	0	2	4	1	0	8	6	2
ENSMUSG00000005968.14	51	43	36	37	34	26	32	28
ENSMUSG00000005973.6	8	8	15	6	10	8	3	2
ENSMUSG00000005981.11	354	289	395	253	246	278	287	158
ENSMUSG00000005982.14	198	135	88	137	160	61	63	52
ENSMUSG00000005983.15	4	6	6	0	1	2	2	0
ENSMUSG00000005986.16	52	44	35	34	38	22	27	18
ENSMUSG00000006005.18	316	297	509	330	234	183	129	135
ENSMUSG00000006010.14	215	255	303	106	120	101	99	42
ENSMUSG00000006014.16	0	0	0	0	0	2	1	0
ENSMUSG00000006019.15	173	139	102	166	132	63	70	100
ENSMUSG00000006019.15_ENSMUSG00000049130.6	1	0	0	0	0	0	1	0
ENSMUSG00000006021.5	23	29	23	12	20	28	24	9
ENSMUSG00000006024.13	1000	1107	815	563	556	730	679	289
ENSMUSG00000006050.12	19	34	40	11	14	51	39	16
ENSMUSG00000006057.15	25	15	31	20	16	16	12	10
ENSMUSG00000006058.10	4	7	13	1	2	14	4	4
ENSMUSG00000006095.12	38	53	30	16	15	40	33	21
ENSMUSG00000006127.9	358	238	124	252	241	84	100	75
ENSMUSG00000006134.4	291	217	152	464	290	207	193	131
ENSMUSG00000006154.13	0	4	2	6	6	0	1	2
ENSMUSG00000006169.20	28	33	24	42	36	17	14	8
ENSMUSG00000006179.9	7	21	16	7	8	8	8	6
ENSMUSG00000006191.17	195	174	150	152	143	88	104	53
ENSMUSG00000006205.13	2	2	3	1	4	19	17	1
ENSMUSG00000006215.12	211	143	122	147	134	154	198	98
ENSMUSG00000006216.10	0	0	0	0	0	0	2	0
ENSMUSG00000006219.12	545	422	514	672	524	432	463	310
ENSMUSG00000006221.7	0	0	0	0	1	0	1	0
ENSMUSG00000006235.6	1	0	0	2	0	0	0	1
ENSMUSG00000006241.16	1	9	9	3	2	2	5	2
ENSMUSG00000006262.15	77	93	86	152	92	50	42	35
ENSMUSG00000006262.15_ENSMUSG00000029366.10	2	4	1	1	0	1	1	0
ENSMUSG00000006273.14	3893	2783	1589	2998	3132	1193	1337	889
ENSMUSG00000006276.10	444	265	181	431	354	168	207	178
ENSMUSG00000006281.8	235	255	238	411	268	212	189	224
ENSMUSG00000006288.8	536	493	448	271	305	259	292	129
ENSMUSG00000006289.14	73	131	106	35	54	92	62	34
ENSMUSG00000006299.13	703	863	636	414	477	566	591	255
ENSMUSG00000006301.17	436	372	292	239	235	436	470	121
ENSMUSG00000006304.14	4089	6647	4751	1646	2084	3389	3264	1160
ENSMUSG00000006307.16	5	5	3	21	11	8	8	12
ENSMUSG00000006310.10	1	2	1	0	1	0	1	0
ENSMUSG00000006315.9	15	25	24	11	5	35	17	13
ENSMUSG00000006333.14	70	68	116	39	48	99	103	63
ENSMUSG00000006335.16	4	4	2	2	3	8	5	5
ENSMUSG00000006342.15	0	1	0	7	0	12	3	2
ENSMUSG00000006344.17	3	4	3	1	1	0	3	2
ENSMUSG00000006356.10	2	7	2	0	2	6	3	3
ENSMUSG00000006360.11	106	100	133	31	49	56	45	70
ENSMUSG00000006362.16	1	2	3	3	3	3	2	1
ENSMUSG00000006373.10	325	295	239	207	235	146	167	77
ENSMUSG00000006378.15	24	35	22	10	13	14	13	5
ENSMUSG00000006390.15	255	333	182	107	151	196	195	82
ENSMUSG00000006392.16	24	47	32	17	21	25	19	12
ENSMUSG00000006395.16	16	19	17	7	5	13	4	12
ENSMUSG00000006398.15	256	340	269	129	165	178	183	84
ENSMUSG00000006403.13	0	0	0	0	1	8	7	0
ENSMUSG00000006411.12	87	75	82	94	66	78	66	58
ENSMUSG00000006412.10	34	49	36	21	28	32	37	14
ENSMUSG00000006418.17	1124	1087	918	501	572	730	753	366
ENSMUSG00000006418.17_ENSMUSG00000042821.7	0	0	0	1	1	0	0	0
ENSMUSG00000006423.15	329	293	181	287	220	91	101	82
ENSMUSG00000006435.16	6	0	3	13	5	6	3	7
ENSMUSG00000006442.10	29	86	71	20	18	68	46	18
ENSMUSG00000006445.3	23	19	20	1	1	14	17	27
ENSMUSG00000006456.10	175	132	111	156	131	66	78	104
ENSMUSG00000006456.10_ENSMUSG00000094936.8	2	3	0	1	3	4	1	0
ENSMUSG00000006462.6	0	1	0	0	0	1	0	0
ENSMUSG00000006463.13	42	35	24	28	37	31	15	12
ENSMUSG00000006464.9	2	1	0	2	0	2	1	1
ENSMUSG00000006471.18	49	37	23	37	32	43	32	11
ENSMUSG00000006471.18_ENSMUSG00000115018.2	32	17	10	57	39	9	10	13
ENSMUSG00000006476.19	119	83	78	123	80	38	39	47
ENSMUSG00000006494.11	1055	713	370	749	668	215	235	257
ENSMUSG00000006498.16	825	589	452	643	606	304	318	319
ENSMUSG00000006517.5	61	91	19	11	20	29	35	7
ENSMUSG00000006519.11	171	163	161	56	78	232	162	90
ENSMUSG00000006526.13	41	52	41	61	32	66	52	27
ENSMUSG00000006527.16	325	257	247	409	284	248	214	128
ENSMUSG00000006574.15	1	0	0	0	0	1	0	0
ENSMUSG00000006576.16	12	6	1	4	3	1	0	6
ENSMUSG00000006585.3	373	275	222	154	147	205	221	96
ENSMUSG00000006589.8	60	74	60	16	20	52	39	19
ENSMUSG00000006589.8_ENSMUSG00000015027.11	0	0	0	0	0	2	0	0
ENSMUSG00000006599.13	258	266	277	181	170	139	174	58
ENSMUSG00000006611.15	244	264	188	161	222	147	156	76
ENSMUSG00000006638.15	3	3	2	1	2	4	4	0
ENSMUSG00000006641.12	31	29	14	34	31	6	12	7
ENSMUSG00000006651.8	2	4	8	1	3	13	7	3
ENSMUSG00000006673.14	977	690	506	821	676	306	268	317
ENSMUSG00000006673.14_ENSMUSG00000032604.16	0	0	1	1	0	0	0	0
ENSMUSG00000006673.14_ENSMUSG00000062867.13	2	0	0	0	1	0	0	0
ENSMUSG00000006673.14_ENSMUSG00000103970.1	248	215	133	202	161	80	88	76
ENSMUSG00000006675.10	2	0	2	0	1	0	2	0
ENSMUSG00000006676.16	764	557	334	1411	792	361	344	526
ENSMUSG00000006678.6	145	126	198	247	127	108	113	83
ENSMUSG00000006699.17	6042	5242	3506	3479	3653	2093	2496	1180
ENSMUSG00000006705.13	171	135	119	184	138	94	102	59
ENSMUSG00000006711.15	0	0	0	0	0	2	0	0
ENSMUSG00000006715.11	37	62	76	13	24	33	19	28
ENSMUSG00000006717.7	8	9	11	2	9	8	5	7
ENSMUSG00000006720.16	0	1	0	1	1	0	1	0
ENSMUSG00000006728.12	191	250	190	112	144	215	175	67
ENSMUSG00000006731.10	441	383	355	337	340	229	242	211
ENSMUSG00000006732.14	24	9	9	9	6	7	7	4
ENSMUSG00000006736.9	619	771	444	260	365	410	445	153
ENSMUSG00000006740.14	358	439	647	330	299	161	213	134
ENSMUSG00000006763.14	31	40	44	36	28	19	24	11
ENSMUSG00000006763.14_ENSMUSG00000110010.1	0	0	0	2	0	1	0	0
ENSMUSG00000006782.16	648	527	447	361	386	373	384	228
ENSMUSG00000006800.14	330	208	154	368	272	101	88	155
ENSMUSG00000006818.5	189	208	159	297	247	323	327	81
ENSMUSG00000006850.8	36	42	21	19	23	15	25	10
ENSMUSG00000006906.10	199	175	141	106	111	88	86	52
ENSMUSG00000006920.14	417	246	159	545	411	213	183	124
ENSMUSG00000006930.15	6	13	6	5	4	0	3	8
ENSMUSG00000006932.17	955	774	664	571	424	345	405	473
ENSMUSG00000006941.5	16	30	26	4	14	24	12	5
ENSMUSG00000006998.16	1785	1121	868	1174	1225	748	747	587
ENSMUSG00000007029.16	467	296	258	612	430	280	240	310
ENSMUSG00000007030.8	4	3	0	0	2	0	2	1
ENSMUSG00000007033.4	3	3	4	2	3	7	10	2
ENSMUSG00000007035.15	2	2	1	0	0	0	1	0
ENSMUSG00000007036.15	414	455	366	248	274	235	293	127
ENSMUSG00000007038.5	778	866	645	556	545	619	626	322
ENSMUSG00000007039.12	14	30	6	13	13	21	15	6
ENSMUSG00000007041.9	539	1172	650	231	324	1021	707	310
ENSMUSG00000007050.17	7	7	8	5	6	13	5	5
ENSMUSG00000007080.14	61	48	33	100	54	48	46	53
ENSMUSG00000007207.10	8	6	8	4	3	4	2	1
ENSMUSG00000007216.6	18	15	13	16	20	12	17	1
ENSMUSG00000007216.6_ENSMUSG00000052751.16	0	0	0	1	0	1	0	0
ENSMUSG00000007338.10	38	66	56	37	20	40	42	23
ENSMUSG00000007379.15	69	60	36	107	74	27	20	32
ENSMUSG00000007411.16	2	1	1	2	2	0	0	0
ENSMUSG00000007415.15	4	4	11	2	4	4	2	0
ENSMUSG00000007458.14	3201	2431	2051	1334	1615	1228	1289	574
ENSMUSG00000007476.18	7	6	4	13	8	5	6	2
ENSMUSG00000007564.15	1020	759	474	533	627	378	379	289
ENSMUSG00000007570.16	77	90	51	59	76	23	36	28
ENSMUSG00000007589.9	45	65	30	41	38	42	28	18
ENSMUSG00000007594.10	0	0	0	2	0	0	1	0
ENSMUSG00000007603.9	80	87	70	83	74	48	56	35
ENSMUSG00000007610.15	27	28	26	15	27	8	20	12
ENSMUSG00000007613.15	399	383	387	1253	667	631	567	179
ENSMUSG00000007617.18	8	15	34	18	6	22	5	3
ENSMUSG00000007646.13	13	17	15	3	8	12	7	2
ENSMUSG00000007655.16	55	35	49	35	20	58	51	15
ENSMUSG00000007656.13	153	131	113	191	179	67	68	43
ENSMUSG00000007659.18	867	643	399	607	646	337	361	212
ENSMUSG00000007670.10	49	40	44	83	42	36	27	20
ENSMUSG00000007682.6	1	0	0	8	2	0	0	0
ENSMUSG00000007721.6	16	38	18	9	8	36	29	8
ENSMUSG00000007739.10	898	841	827	491	463	411	535	243
ENSMUSG00000007777.9	18	25	22	8	10	16	12	2
ENSMUSG00000007783.10	7	3	4	7	4	4	6	0
ENSMUSG00000007812.16	287	274	225	275	185	170	170	102
